format,team1,team2,toss_winner,match_winner,venue,date
T20,Pokhara Avengers,Karnali Yaks,Karnali Yaks,Pokhara Avengers,"Tribhuvan University International Cricket Ground, Kirtipur",2025-12-02
MDM,Derbyshire,Leicestershire,Leicestershire,Derbyshire,"County Ground, Derby",2014-09-23
ODI,United States of America,Papua New Guinea,United States of America,United States of America,Central Broward Regional Park Stadium Turf Ground,2019-09-13
T20,Sydney Thunder,Melbourne Stars,Sydney Thunder,Melbourne Stars,Stadium Australia,2014-01-01
ODM,Northern Diamonds,Southern Vipers,Northern Diamonds,Southern Vipers,"The Rose Bowl, Southampton",2021-09-18
T20,Hobart Hurricanes,Perth Scorchers,Hobart Hurricanes,Perth Scorchers,Perth Stadium,2021-01-12
T20,Perth Scorchers,Adelaide Strikers,Adelaide Strikers,Perth Scorchers,Adelaide Oval,2026-01-11
ODI,New Zealand,Pakistan,Pakistan,New Zealand,Bert Sutcliffe Oval,2016-11-13
ODM,Yorkshire,Leicestershire,Leicestershire,Yorkshire,"Headingley, Leeds",2019-04-17
ODI,West Indies,India,West Indies,India,"Sabina Park, Kingston",2017-07-06
T20,Surrey,Hampshire,Hampshire,Surrey,"The Rose Bowl, Southampton",2021-06-30
T20,Rwanda,Brazil,Brazil,Rwanda,Gahanga International Cricket Stadium. Rwanda,2022-06-10
ODM,United Arab Emirates,Ireland,Ireland,Ireland,Sharjah Cricket Stadium,2013-03-20
T20,Estonia,Finland,Finland,Finland,Estonian National Cricket and Rugby Field,2025-07-27
ODM,Northern Diamonds,The Blaze,Northern Diamonds,The Blaze,"North Marine Road Ground, Scarborough",2024-05-01
ODI,South Africa,England,South Africa,South Africa,Newlands,2020-02-04
T20,Rajasthan Royals,Gujarat Titans,Rajasthan Royals,Gujarat Titans,"Sawai Mansingh Stadium, Jaipur",2023-05-05
MDM,Wellington Firebirds,Northern Districts,Wellington Firebirds,Wellington Firebirds,Cello Basin Reserve,2022-10-18
MDM,Auckland Aces,Central Stags,Auckland Aces,Central Stags,Kennards Hire Community Oval,2023-10-20
T20,Lancashire Thunder,Western Storm,Lancashire Thunder,Western Storm,"County Ground, Taunton",2016-07-31
T20,Netherlands,Papua New Guinea,Netherlands,Papua New Guinea,ICC Academy,2019-10-24
ODI,Australia,Zimbabwe,Zimbabwe,Zimbabwe,"Riverway Stadium, Townsville",2022-09-03
MDM,Otago Volts,Northern Districts,Northern Districts,Northern Districts,University of Otago Oval,2017-03-29
ODI,Australia,India,Australia,India,Sydney Cricket Ground,2025-10-25
ODI,England,Netherlands,Netherlands,England,"VRA Ground, Amstelveen",2022-06-17
T20,Sydney Sixers,Perth Scorchers,Perth Scorchers,Perth Scorchers,Sydney Cricket Ground,2017-12-23
Test,England,New Zealand,New Zealand,England,Lord's,2015-05-21
ODM,Kurunegala Youth Cricket Club,Burgher Recreation Club,Burgher Recreation Club,Burgher Recreation Club,"Welagedara Stadium, Kurunegala",2024-07-30
T20,Western Province,North West,North West,Western Province,"The Wanderers Stadium, Johannesburg",2024-10-23
T20,Nottinghamshire,Worcestershire,Nottinghamshire,Nottinghamshire,Trent Bridge,2016-07-09
T20,Western Storm,Southern Vipers,Southern Vipers,Southern Vipers,"County Ground, Chelmsford",2016-08-21
Test,Zimbabwe,Sri Lanka,Zimbabwe,No Result,Harare Sports Club,2020-01-27
T20,Gujarat Giants,UP Warriorz,Gujarat Giants,Gujarat Giants,"Arun Jaitley Stadium, Delhi",2024-03-11
T20,Kerala,Tripura,Tripura,Kerala,Greenfield Stadium,2019-11-11
T20,Japan,Fiji,Japan,Japan,"Albert Park 1, Suva",2025-09-05
MDM,Sussex,Essex,Essex,Essex,"County Ground, Hove",2025-07-22
T20,Nondescripts Cricket Club,Panadura Sports Club,Nondescripts Cricket Club,Nondescripts Cricket Club,Colombo Cricket Club Ground,2025-06-06
T20,Delhi Capitals,Royal Challengers Bangalore,Delhi Capitals,Delhi Capitals,"Arun Jaitley Stadium, Delhi",2024-03-10
T20,Pakistan,New Zealand,Pakistan,New Zealand,Eden Park,2020-12-18
T20,United Arab Emirates,Thailand,United Arab Emirates,United Arab Emirates,"Bayuemas Oval, Kuala Lumpur",2023-09-09
T20,Manchester Originals,Welsh Fire,Manchester Originals,Welsh Fire,"Old Trafford, Manchester",2024-07-25
T20,Sydney Sixers,Melbourne Stars,Sydney Sixers,Melbourne Stars,Drummoyne Oval,2015-12-19
T20,Galle Gladiators,Jaffna Kings,Galle Gladiators,Galle Gladiators,"R Premadasa Stadium, Colombo",2021-12-17
ODM,Glamorgan,Leicestershire,Leicestershire,No Result,"Grace Road, Leicester",2021-08-05
T20,St Kitts and Nevis Patriots,Barbados Royals,Barbados Royals,St Kitts and Nevis Patriots,"Warner Park, Basseterre, St Kitts",2025-08-21
T20,Sydney Thunder,Adelaide Strikers,Sydney Thunder,Adelaide Strikers,Stadium Australia,2013-12-27
ODI,Australia,Pakistan,Pakistan,Pakistan,Perth Stadium,2024-11-10
IT20,Jersey,Italy,Italy,Italy,Sportpark Westvliet,2018-08-31
T20,Derbyshire,Leicestershire,Leicestershire,Leicestershire,County Ground,2019-08-15
T20,Sikkim,Gujarat,Sikkim,Gujarat,Lalbhai Contractor Stadium,2019-11-14
MDM,Auckland Aces,Wellington Firebirds,Auckland Aces,Wellington Firebirds,Colin Maiden Park,2020-03-10
T20,Nottinghamshire,Worcestershire,Worcestershire,Worcestershire,"County Ground, New Road, Worcester",2023-06-22
T20,Quetta Gladiators,Islamabad United,Islamabad United,Islamabad United,"Sheikh Zayed Stadium, Abu Dhabi",2021-06-11
T20,London Spirit,Oval Invincibles,London Spirit,Oval Invincibles,"Lord's, London",2022-08-27
T20,Munster Reds,Northern Knights,Munster Reds,Northern Knights,"Bready Cricket Club, Magheramason, Bready",2025-07-02
ODI,England,Bangladesh,Bangladesh,England,"Himachal Pradesh Cricket Association Stadium, Dharamsala",2023-10-10
ODI,Bangladesh,South Africa,South Africa,Bangladesh,Kennington Oval,2019-06-02
ODI,Netherlands,Thailand,Netherlands,Thailand,Royal Chiangmai Golf Club,2022-11-26
T20,Nepal,Japan,Japan,Nepal,Hong Kong Cricket Club,2023-11-18
T20,Surrey,Middlesex,Surrey,Surrey,"Lord's, London",2025-07-16
T20,St Helena,Lesotho,Lesotho,St Helena,Integrated Polytechnic Regional Centre,2022-11-22
MDM,Northern Districts,Central Stags,Northern Districts,Central Stags,Bay Oval,2019-10-30
ODM,Police Sports Club,Colts Cricket Club,Police Sports Club,Colts Cricket Club,Sri Lanka Army Ordnance Corps International Cricket Stadium,2024-06-22
T20,Trinidad & Tobago Red Steel,Barbados Tridents,Trinidad & Tobago Red Steel,Barbados Tridents,"Kensington Oval, Bridgetown",2015-06-25
T20,Germany,Greece,Germany,Germany,"Marina Ground, Corfu",2025-05-11
ODM,Surrey,Hampshire,Hampshire,Hampshire,"Woodbridge Road, Guildford",2023-08-20
T20,Nepal,Oman,Nepal,No Result,"Tribhuvan University International Cricket Ground, Kirtipur",2023-11-05
T20,Canterbury,Northern Districts,Northern Districts,Canterbury,"Hagley Oval, Christchurch",2024-01-09
T20,Galle Titans,B-Love Kandy,Galle Titans,Galle Titans,"R Premadasa Stadium, Colombo",2023-08-01
ODI,South Africa,India,South Africa,South Africa,Kingsmead,2011-01-12
T20,Multan Sultans,Quetta Gladiators,Quetta Gladiators,Multan Sultans,Rawalpindi Cricket Stadium,2023-03-11
T20,Gujarat Giants,Royal Challengers Bangalore,Gujarat Giants,Gujarat Giants,"Brabourne Stadium, Mumbai",2023-03-08
ODI,India,Pakistan,India,Pakistan,Kennington Oval,2017-06-18
T20,Himachal,Haryana,Haryana,Haryana,Reliance Cricket Stadium,2021-11-04
ODI,Scotland,Nepal,Nepal,Nepal,"Grand Prairie Stadium, Dallas",2024-10-29
Test,England,Pakistan,Pakistan,Pakistan,Sharjah Cricket Stadium,2015-11-01
Test,England,West Indies,England,No Result,"Kensington Oval, Bridgetown, Barbados",2022-03-16
T20,Chilaw Marians Cricket Club,Bloomfield Cricket and Athletic Club,Bloomfield Cricket and Athletic Club,Bloomfield Cricket and Athletic Club,Colombo Cricket Club Ground,2025-05-25
ODI,South Africa,Sri Lanka,South Africa,South Africa,St George's Park,2019-03-13
T20,Ireland,England,England,England,"The Village, Malahide, Dublin",2025-09-21
T20,England,Sri Lanka,Sri Lanka,Sri Lanka,The Rose Bowl,2006-06-15
T20,Oman,Qatar,Oman,Oman,"West End Park International Cricket Stadium, Doha",2026-02-12
ODI,India,Australia,Australia,India,"Rajiv Gandhi International Stadium, Uppal",2019-03-02
T20,Somerset,Surrey,Surrey,Surrey,"Kennington Oval, London",2022-06-21
T20,West Indies,Zimbabwe,West Indies,West Indies,"Sir Vivian Richards Stadium, North Sound",2013-03-03
T20,Birmingham Phoenix,Oval Invincibles,Oval Invincibles,Birmingham Phoenix,"Kennington Oval, London",2022-08-23
MDM,Leicestershire,Nottinghamshire,Nottinghamshire,Nottinghamshire,"Grace Road, Leicester",2022-06-12
ODM,Nottinghamshire,Surrey,Surrey,Nottinghamshire,"Woodbridge Road, Guildford",2024-08-04
T20,Kenya,Uganda,Kenya,Uganda,"Gymkhana Club Ground, Nairobi",2022-12-21
ODM,Essex,Hampshire,Hampshire,Hampshire,"The Rose Bowl, Southampton",2018-05-23
T20,Qatar,Kuwait,Kuwait,Qatar,"West End Park International Cricket Stadium, Doha",2023-09-18
ODI,Sri Lanka,England,England,Sri Lanka,R Premadasa Stadium,2011-03-26
T20,Scotland,Zimbabwe,Scotland,Zimbabwe,"Grange Cricket Club Ground, Raeburn Place, Edinburgh",2021-09-19
T20,Bangladesh,Australia,Bangladesh,Australia,"St George's Park, Gqeberha",2023-02-14
ODI,Scotland,United Arab Emirates,Scotland,Scotland,"Mannofield Park, Aberdeen",2022-08-10
Test,Sri Lanka,Pakistan,Sri Lanka,Sri Lanka,Sheikh Zayed Stadium,2017-09-28
ODI,New Zealand,Pakistan,Pakistan,New Zealand,"Bay Oval, Mount Maunganui",2025-04-05
T20,Nepal,Zimbabwe,Nepal,Zimbabwe,Indian Association Ground,2019-09-27
T20,Cape Cobras,Dolphins,Cape Cobras,Dolphins,"Kingsmead, Durban",2015-12-04
T20,Bangladesh,Zimbabwe,Bangladesh,Zimbabwe,Shere Bangla National Stadium,2015-11-15
T20,Derbyshire,Leicestershire,Leicestershire,Leicestershire,Grace Road,2015-05-22
T20,Barmy Army,Falcons,Falcons,Barmy Army,Kowloon Cricket Club,2023-04-05
T20,Chittagong Kings,Barisal Burners,Barisal Burners,Chittagong Kings,"Sheikh Abu Naser Stadium, Khulna",2013-01-24
ODM,Singapore,Canada,Canada,Singapore,Kyambogo Cricket Oval,2017-05-29
T20,Birmingham Phoenix,Trent Rockets,Birmingham Phoenix,Trent Rockets,"Edgbaston, Birmingham",2025-08-08
T20,Kent,Essex,Kent,Essex,St Lawrence Ground,2014-06-11
ODI,India,Sri Lanka,India,India,"R Premadasa Stadium, Colombo",2025-05-11
ODM,Nottinghamshire,Gloucestershire,Nottinghamshire,Gloucestershire,"County Ground, Bristol",2022-08-10
ODM,Leinster Lightning,Northern Knights,Northern Knights,Northern Knights,"The Green, Comber",2021-05-16
T20,Uganda,Mozambique,Uganda,Uganda,"Willowmoore Park, Benoni",2022-09-18
MDM,Wellington Firebirds,Otago Volts,Wellington Firebirds,Wellington Firebirds,Queenstown Events Centre,2016-02-05
T20,Rajasthan Royals,Gujarat Titans,Rajasthan Royals,Gujarat Titans,"Narendra Modi Stadium, Ahmedabad",2022-05-29
Test,England,Zimbabwe,Zimbabwe,England,"Trent Bridge, Nottingham",2025-05-22
T20,Kochi Tuskers Kerala,Kolkata Knight Riders,Kolkata Knight Riders,Kochi Tuskers Kerala,Nehru Stadium,2011-05-05
T20,North-West Warriors,Northern Knights,Northern Knights,Northern Knights,"Mardyke, Cork",2023-06-08
ODI,Australia,West Indies,Australia,West Indies,"Queen's Park (New), St George's, Grenada",2003-05-30
ODI,England,Sri Lanka,England,Sri Lanka,Rangiri Dambulla International Stadium,2003-11-18
ODM,Derbyshire,Northamptonshire,Derbyshire,Derbyshire,"County Ground, Northampton",2018-06-01
T20,Rajshahi Kings,Dhaka Dynamites,Rajshahi Kings,Rajshahi Kings,Sylhet International Cricket Stadium,2019-01-16
T20,Lancashire,Derbyshire,Derbyshire,Lancashire,"Old Trafford, Manchester",2025-07-05
T20,Gambia,Mozambique,Gambia,Mozambique,"Ruaraka Sports Club Ground, Nairobi",2024-10-24
T20,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata Knight Riders,M Chinnaswamy Stadium,2017-05-17
T20,Nepal,Uganda,Uganda,Nepal,"Tribhuvan University International Cricket Ground, Kirtipur",2022-05-21
ODI,West Indies,New Zealand,West Indies,West Indies,"Sabina Park, Kingston",2012-07-05
MDM,Nottinghamshire,Derbyshire,Derbyshire,Nottinghamshire,"County Ground, Derby",2021-04-29
T20,South Africa,Australia,Australia,Australia,"Zayed Cricket Stadium, Abu Dhabi",2021-10-23
ODM,Leicestershire,Gloucestershire,Gloucestershire,Gloucestershire,"County Ground, Bristol",2025-08-10
T20,Australia,India,India,Australia,Brabourne Stadium,2018-03-26
T20,New Zealand,South Africa,New Zealand,South Africa,Lord's,2009-06-09
T20,United Arab Emirates,Papua New Guinea,United Arab Emirates,Papua New Guinea,VRA Ground,2018-07-08
T20,Canada,Kenya,Kenya,Kenya,Dubai International Cricket Stadium,2010-02-10
T20,Karachi Kings,Lahore Qalandars,Karachi Kings,Karachi Kings,National Stadium,2020-03-12
IT20,Kuwait,Oman,Oman,Oman,Sharjah Cricket Stadium,2015-01-30
Test,England,Pakistan,Pakistan,Pakistan,Sheikh Zayed Stadium,2012-01-25
MDM,Surrey,Kent,Kent,No Result,"Kennington Oval, London",2022-06-26
T20,Sydney Sixers,Perth Scorchers,Perth Scorchers,Sydney Sixers,W.A.C.A. Ground,2017-01-28
ODM,Bermuda,United States of America,Bermuda,United States of America,Selangor Turf Club,2014-10-30
Test,India,England,England,India,Trent Bridge,2018-08-18
T20,Glamorgan,Sussex,Glamorgan,Sussex,County Ground,2015-07-10
ODI,New Zealand,Sri Lanka,Sri Lanka,No Result,Eden Park,2015-01-17
IT20,Nepal,Thailand,Thailand,Nepal,Bayuemas Oval,2018-10-07
MDM,Victoria,Queensland,Queensland,Victoria,Melbourne Cricket Ground,2023-02-09
T20,Adelaide Strikers,Hobart Hurricanes,Adelaide Strikers,Hobart Hurricanes,"Bellerive Oval, Hobart",2025-01-05
MDM,Lancashire,Essex,Lancashire,No Result,"County Ground, Chelmsford",2023-04-13
ODI,Australia,South Africa,Australia,Australia,Manuka Oval,2014-11-19
T20,Chittagong Kings,Dhaka Capitals,Chittagong Kings,Dhaka Capitals,"Zahur Ahmed Chowdhury Stadium, Chattogram",2025-01-22
Test,India,New Zealand,India,India,"Wankhede Stadium, Mumbai",2021-12-03
T20,Glamorgan,Birmingham Bears,Glamorgan,Birmingham Bears,Sophia Gardens,2020-08-30
T20,Denmark,Germany,Denmark,Germany,"Desert Springs Cricket Ground, Almeria",2021-10-16
T20,Nigeria,Uganda,Uganda,Uganda,"Gahanga International Cricket Stadium, Rwanda",2024-12-08
T20,Assam,Meghalaya,Meghalaya,Meghalaya,Wankhede Stadium,2019-11-12
ODM,Yorkshire,Derbyshire,Derbyshire,Yorkshire,"Headingley, Leeds",2017-05-07
MDM,Nottinghamshire,Essex,Nottinghamshire,Essex,"County Ground, Chelmsford",2019-05-14
ODM,Middlesex,Surrey,Middlesex,Middlesex,"Kennington Oval, London",2019-04-25
T20,Bahrain,Canada,Bahrain,Canada,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),2022-02-24
T20,Warriors,Titans,Warriors,Titans,"Senwes Park, Potchefstroom",2022-10-28
T20,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,Royal Challengers Bangalore,M Chinnaswamy Stadium,2015-05-06
T20,Malaysia,Singapore,Malaysia,Malaysia,"Tribhuvan University International Cricket Ground, Kirtipur",2023-11-02
ODM,Namibia,Netherlands,Netherlands,Namibia,Affies Park,2015-01-20
T20,Sierra Leone,Eswatini,Sierra Leone,Sierra Leone,"Nigeria Cricket Federation Oval 2, Abuja",2024-11-28
T20,Sydney Thunder,Melbourne Renegades,Sydney Thunder,Sydney Thunder,Sydney Showground Stadium,2019-01-08
ODI,Nepal,Scotland,Scotland,Scotland,"Titwood, Glasgow",2022-07-17
ODI,Scotland,Netherlands,Netherlands,Scotland,"Sportpark Maarschalkerweerd, Utrecht",2025-05-16
ODI,India,Sri Lanka,India,Sri Lanka,"Queen's Park Oval, Port of Spain",2007-03-23
T20,Hobart Hurricanes,Melbourne Stars,Melbourne Stars,Hobart Hurricanes,Bellerive Oval,2021-01-02
T20,Greece,Serbia,Serbia,Greece,Marsa Sports Club,2024-08-25
T20,Perth Scorchers,Sydney Sixers,Perth Scorchers,Sydney Sixers,Perth Stadium,2024-01-16
ODI,Australia,Sri Lanka,Australia,Australia,"Kensington Oval, Bridgetown",2007-04-28
ODM,Somerset,Essex,Essex,No Result,"County Ground, Chelmsford",2025-07-24
T20,Quetta Gladiators,Islamabad United,Quetta Gladiators,Quetta Gladiators,"Gaddafi Stadium, Lahore",2025-05-21
T20,United Arab Emirates,Qatar,United Arab Emirates,United Arab Emirates,"West End Park International Cricket Stadium, Doha",2023-09-20
ODI,South Africa,New Zealand,New Zealand,New Zealand,Boland Park,2013-01-19
T20,Northern Districts,Otago,Otago,Northern Districts,"University Oval, Dunedin",2025-01-16
T20,Titans,Lions,Lions,Lions,"New Wanderers Stadium, Johannesburg",2013-02-20
MDM,Worcestershire,Leicestershire,Worcestershire,No Result,"Grace Road, Leicester",2022-04-07
T20,Melbourne Renegades,Adelaide Strikers,Melbourne Renegades,Melbourne Renegades,Gliderol Stadium,2017-12-17
ODM,Bloomfield Cricket and Athletic Club,Panadura Sports Club,Panadura Sports Club,No Result,Panadura Esplanade,2024-06-10
T20,Kings XI Punjab,Delhi Capitals,Delhi Capitals,Delhi Capitals,Arun Jaitley Stadium,2019-04-20
T20,Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab,Eden Gardens,2012-04-15
T20,Leicestershire,Northamptonshire,Leicestershire,Northamptonshire,"County Ground, Northampton",2023-06-02
T20,Australia,Pakistan,Australia,Australia,Galle International Stadium,2012-09-29
MDM,Durham,Middlesex,Middlesex,Middlesex,"Lord's, London",2022-05-19
ODI,South Africa,Australia,Australia,South Africa,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2023-10-12
MDM,Worcestershire,Glamorgan,Glamorgan,Glamorgan,"County Ground, New Road, Worcester",2017-06-09
T20,Sydney Thunder,Melbourne Renegades,Melbourne Renegades,Melbourne Renegades,Stadium Australia,2012-12-14
MDM,New South Wales,Tasmania,Tasmania,New South Wales,Sydney Cricket Ground,2023-11-28
T20,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,Chennai Super Kings,Sawai Mansingh Stadium,2012-05-10
T20,South East Stars,Central Sparks,Central Sparks,South East Stars,"St Lawrence Ground, Canterbury",2023-06-07
T20,United Arab Emirates,Ireland,Ireland,Ireland,Dubai International Cricket Stadium,2017-01-18
T20,Guyana Amazon Warriors,Trinidad & Tobago Red Steel,Guyana Amazon Warriors,Trinidad & Tobago Red Steel,"Queen's Park Oval, Port of Spain",2015-07-25
ODM,Northamptonshire,Derbyshire,Derbyshire,Derbyshire,"County Ground, Northampton",2023-08-20
ODI,Bangladesh,Australia,Bangladesh,Australia,Narayanganj Osmani Stadium,2006-04-28
T20,Scotland,Ireland,Scotland,Ireland,"Bellerive Oval, Hobart",2022-10-19
T20,Khulna Titans,Chittagong Vikings,Chittagong Vikings,Khulna Titans,"Shere Bangla National Stadium, Mirpur",2016-11-12
T20,Canterbury,Central Districts,Central Districts,Canterbury,"Hagley Oval, Christchurch",2023-01-27
ODM,Nottinghamshire,Worcestershire,Worcestershire,Worcestershire,"County Ground, New Road, Worcester",2017-04-27
T20,Manchester Originals,London Spirit,Manchester Originals,London Spirit,"Old Trafford, Manchester",2021-08-10
IT20,Kuwait,Saudi Arabia,Kuwait,Kuwait,Tack-Tec Ground,2018-04-27
T20,Oval Invincibles,Manchester Originals,Manchester Originals,Oval Invincibles,"Old Trafford, Manchester",2024-08-06
T20,Peshawar Zalmi,Quetta Gladiators,Quetta Gladiators,Peshawar Zalmi,Rawalpindi Cricket Stadium,2024-03-08
T20,Dambulla Giants,Galle Gladiators,Dambulla Giants,No Result,"R Premadasa Stadium, Colombo",2021-12-10
Test,Sri Lanka,South Africa,South Africa,South Africa,Galle International Stadium,2014-07-16
ODI,India,Australia,India,Australia,"SuperSport Park, Centurion",2003-02-15
T20,Titans,Dolphins,Dolphins,Titans,"Senwes Park, Potchefstroom",2022-10-17
T20,Comilla Victorians,Rangpur Riders,Rangpur Riders,Rangpur Riders,"Shere Bangla National Stadium, Mirpur",2019-01-08
T20,Sussex,Somerset,Somerset,Somerset,"County Ground, Hove",2025-06-06
MDM,Kent,Sussex,Sussex,Kent,"St Lawrence Ground, Canterbury",2018-05-11
T20,Auckland,Central Districts,Auckland,Central Districts,Eden Park Outer Oval,2021-01-23
ODM,Worcestershire,Essex,Essex,Essex,"County Ground, New Road, Worcester",2014-07-27
MDM,Nottinghamshire,Hampshire,Hampshire,No Result,"The John Fretwell Sporting Complex, Nettleworth",2019-06-09
MDM,Yorkshire,Northamptonshire,Northamptonshire,No Result,"County Ground, Northampton",2024-05-24
T20,Warriors,Knights,Warriors,Knights,"St George's Park, Port Elizabeth",2022-02-14
ODI,Australia,New Zealand,New Zealand,New Zealand,Docklands Stadium,2004-12-05
T20,Hong Kong,Ireland,Hong Kong,Ireland,Sheikh Zayed Stadium,2019-10-18
T20,Pretoria Capitals,Sunrisers Eastern Cape,Sunrisers Eastern Cape,Sunrisers Eastern Cape,"St George's Park, Gqeberha",2024-01-22
T20,St Lucia Zouks,Guyana Amazon Warriors,St Lucia Zouks,Guyana Amazon Warriors,"Daren Sammy National Cricket Stadium, Gros Islet",2019-09-25
T20,Yorkshire,Warwickshire,Yorkshire,Yorkshire,Headingley,2016-07-08
ODI,New Zealand,Sri Lanka,New Zealand,New Zealand,Bay Oval,2019-01-03
T20,New Zealand,Pakistan,Pakistan,No Result,Rawalpindi Cricket Stadium,2023-04-20
T20,Kent,Somerset,Somerset,Kent,The Cooper Associates County Ground,2014-05-23
MDM,Warwickshire,Yorkshire,Warwickshire,No Result,"Headingley, Leeds",2015-04-26
ODI,Bangladesh,Ireland,Ireland,Bangladesh,"County Ground, Chelmsford",2023-05-14
T20,Delhi Daredevils,Sunrisers Hyderabad,Delhi Daredevils,Delhi Daredevils,Feroz Shah Kotla,2017-05-02
T20,Trinbago Knight Riders,Jamaica Tallawahs,Jamaica Tallawahs,Jamaica Tallawahs,"Queen's Park Oval, Port of Spain",2018-08-10
ODM,Negombo Cricket Club,Ace Capital Cricket Club,Negombo Cricket Club,Ace Capital Cricket Club,Sri Lanka Army Ordnance Corps International Cricket Stadium,2024-06-10
T20,Namibia,Zimbabwe,Zimbabwe,Namibia,"Wanderers Cricket Ground, Windhoek",2024-09-14
T20,North West,Boland,Boland,North West,"Senwes Park, Potchefstroom",2024-10-06
ODM,Essex,Glamorgan,Glamorgan,Glamorgan,"Sophia Gardens, Cardiff",2021-08-16
T20,Glamorgan,Essex,Essex,Essex,"County Ground, Chelmsford",2023-06-16
T20,Peshawar Zalmi,Karachi Kings,Karachi Kings,Peshawar Zalmi,"Gaddafi Stadium, Lahore",2022-02-13
ODI,Zimbabwe,Pakistan,Zimbabwe,Pakistan,Sharjah Cricket Association Stadium,2003-04-10
T20,Saudi Arabia,Nepal,Nepal,Nepal,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),2024-04-17
MDM,Gloucestershire,Glamorgan,Glamorgan,No Result,"Sophia Gardens, Cardiff",2025-06-29
T20,Nigeria,Sierra Leone,Nigeria,Nigeria,"High Performance Oval, Windhoek",2025-09-06
MDM,Wellington Firebirds,Otago Volts,Wellington Firebirds,Wellington Firebirds,Cello Basin Reserve,2019-10-21
ODI,India,West Indies,India,India,"Queen's Park Oval, Port of Spain, Trinidad",2022-07-27
MDM,Hampshire,Nottinghamshire,Nottinghamshire,Hampshire,"The Rose Bowl, Southampton",2016-05-22
ODI,South Africa,Sri Lanka,South Africa,South Africa,Newlands,2017-02-07
ODI,Bangladesh,South Africa,South Africa,South Africa,Mangaung Oval,2018-05-14
MDM,Northamptonshire,Lancashire,Northamptonshire,Northamptonshire,"County Ground, Northampton",2025-05-09
ODI,Australia,England,England,Australia,"Narendra Modi Stadium, Ahmedabad",2023-11-04
ODI,Australia,Sri Lanka,Australia,Australia,Sydney Cricket Ground,2008-02-08
T20,Durham,Lancashire,Lancashire,Lancashire,"Old Trafford, Manchester",2024-05-30
T20,Multan Sultans,Lahore Qalandars,Multan Sultans,Multan Sultans,Multan Cricket Stadium,2025-04-22
T20,Derbyshire,Nottinghamshire,Nottinghamshire,Nottinghamshire,County Ground,2016-06-24
T20,Lumbini Lions,Biratnagar Kings,Biratnagar Kings,Biratnagar Kings,"Tribhuvan University International Cricket Ground, Kirtipur",2024-12-04
ODM,Lancashire,Durham,Lancashire,Lancashire,"Old Trafford, Manchester",2018-05-20
T20,Dolphins,Warriors,Dolphins,Dolphins,"Kingsmead, Durban",2014-11-05
T20,Islamabad United,Multan Sultans,Multan Sultans,Islamabad United,Rawalpindi Cricket Stadium,2025-04-16
T20,Canada,Pakistan,Pakistan,Pakistan,"Nassau County International Cricket Stadium, New York",2024-06-11
T20,Isle of Man,Turkey,Isle of Man,Isle of Man,Kerava National Cricket Ground,2022-07-18
ODI,Thailand,Netherlands,Netherlands,Thailand,Royal Chiangmai Golf Club,2022-11-24
T20,St Lucia Zouks,Jamaica Tallawahs,St Lucia Zouks,St Lucia Zouks,"Brian Lara Stadium, Tarouba",2020-09-06
T20,Barbados Tridents,Guyana Amazon Warriors,Guyana Amazon Warriors,Barbados Tridents,Providence Stadium,2018-08-12
T20,Sydney Thunder,Brisbane Heat,Brisbane Heat,Brisbane Heat,Manuka Oval,2021-01-31
T20,Oval Invincibles,Southern Brave,Southern Brave,Southern Brave,"The Rose Bowl, Southampton",2021-08-16
T20,Hobart Hurricanes,Sydney Sixers,Sydney Sixers,Hobart Hurricanes,Bellerive Oval,2020-12-10
ODI,New Zealand,Australia,New Zealand,Australia,Westpac Stadium,2016-02-06
T20,Jamaica Tallawahs,St Kitts and Nevis Patriots,Jamaica Tallawahs,Jamaica Tallawahs,"Queen's Park Oval, Port of Spain",2020-08-29
T20,Titans,Dolphins,Dolphins,Titans,"Kingsmead, Durban",2024-10-04
T20,Dhaka Dynamites,Comilla Victorians,Dhaka Dynamites,Dhaka Dynamites,"Shere Bangla National Stadium, Mirpur",2017-12-08
ODI,England,Pakistan,Pakistan,England,"County Ground, New Road",2016-06-22
T20,Rajshahi Warriors,Chattogram Royals,Chattogram Royals,Chattogram Royals,"Shere Bangla National Stadium, Mirpur",2026-01-20
T20,Trinidad & Tobago Red Steel,Barbados Tridents,Trinidad & Tobago Red Steel,Trinidad & Tobago Red Steel,"Queen's Park Oval, Port of Spain",2015-07-16
ODI,Australia,England,England,Australia,Sydney Cricket Ground,2015-01-16
ODI,Bangladesh,Zimbabwe,Bangladesh,Zimbabwe,Shere Bangla National Stadium,2010-12-01
ODM,Middlesex,Glamorgan,Glamorgan,Middlesex,"Sophia Gardens, Cardiff",2018-05-23
T20,Israel,Hungary,Hungary,Israel,"Royal Brussels Cricket Club Ground, Waterloo",2022-07-03
T20,Knights,Boland,Knights,Knights,"St George's Park, Port Elizabeth",2022-02-22
