format,team1,team2,toss_winner,match_winner,venue,date
ODM,Northern Diamonds,Sunrisers,Sunrisers,Sunrisers,"Riverside Ground, Chester-le-Street",2023-09-16
T20,Austria,Luxembourg,Luxembourg,Austria,"Scott Page Field, Vinor",2022-07-09
T20,Mumbai Indians,Gujarat Giants,Gujarat Giants,Mumbai Indians,"Brabourne Stadium, Mumbai",2025-03-13
Test,West Indies,New Zealand,New Zealand,New Zealand,Basin Reserve,2017-12-01
T20,New Zealand,Zimbabwe,New Zealand,New Zealand,Harare Sports Club,2025-07-24
ODI,Sri Lanka,Zimbabwe,Zimbabwe,Sri Lanka,Harare Sports Club,2025-08-29
T20,Ghana,Namibia,Namibia,Namibia,Kyambogo Cricket Oval,2019-05-20
T20,Lions,Warriors,Warriors,Lions,"Senwes Park, Potchefstroom",2013-02-24
T20,England,Pakistan,Pakistan,England,Sophia Gardens,2010-09-07
ODI,South Africa,Pakistan,South Africa,Pakistan,"Gaddafi Stadium, Lahore",2025-09-22
T20,Railways,Punjab,Railways,Punjab,Holkar Stadium,2019-03-02
ODI,Hong Kong,Scotland,Scotland,Scotland,Bulawayo Athletic Club,2018-03-06
T20,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata Knight Riders,M.Chinnaswamy Stadium,2019-04-05
T20,Hobart Hurricanes,Brisbane Heat,Brisbane Heat,Hobart Hurricanes,"Drummoyne Oval, Sydney",2025-11-15
T20,Welsh Fire,Southern Brave,Southern Brave,Welsh Fire,"The Rose Bowl, Southampton",2023-08-04
T20,Kenya,Pakistan,Kenya,Pakistan,Gymkhana Club Ground,2007-09-04
T20,Canterbury,Auckland,Canterbury,Auckland,"Eden Park Outer Oval, Auckland",2026-01-14
ODM,Nondescripts Cricket Club,Police Sports Club,Nondescripts Cricket Club,Police Sports Club,"Police Park Ground, Colombo",2025-06-27
T20,Southern Vipers,Lancashire Thunder,Southern Vipers,Southern Vipers,"Aigburth, Liverpool",2019-08-06
MDM,Kent,Surrey,Surrey,Kent,"Kennington Oval, London",2020-08-22
T20,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,Royal Challengers Bangalore,M Chinnaswamy Stadium,2010-03-16
T20,Royal Challengers Bangalore,Pune Warriors,Pune Warriors,Royal Challengers Bangalore,M Chinnaswamy Stadium,2012-04-17
T20,Zimbabwe,Pakistan,Zimbabwe,Pakistan,Harare Sports Club,2013-08-24
T20,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,Delhi Daredevils,Feroz Shah Kotla,2008-04-30
T20,Gibraltar,Czech Republic,Gibraltar,Gibraltar,"Scott Page Field, Vinor",2024-06-16
T20,Sussex,Surrey,Surrey,No Result,Kennington Oval,2018-08-09
MDM,Yorkshire,Nottinghamshire,Nottinghamshire,Yorkshire,"North Marine Road Ground, Scarborough",2016-08-23
T20,Melbourne Renegades,Brisbane Heat,Brisbane Heat,Brisbane Heat,"Docklands Stadium, Melbourne",2023-12-21
MDM,Essex,Kent,Essex,Essex,"St Lawrence Ground, Canterbury",2024-05-24
T20,Haryana,Mumbai,Mumbai,Mumbai,Wankhede Stadium,2019-11-09
ODI,England,Pakistan,Pakistan,No Result,Sophia Gardens,2006-08-30
T20,Lahore Qalandars,Peshawar Zalmi,Peshawar Zalmi,Lahore Qalandars,Rawalpindi Cricket Stadium,2025-05-18
MDM,Yorkshire,Warwickshire,Warwickshire,Yorkshire,"Headingley, Leeds",2014-05-11
T20,Multan Sultans,Islamabad United,Islamabad United,Islamabad United,National Stadium,2021-02-21
T20,Hong Kong,Nepal,Nepal,Hong Kong,Entebbe Cricket Oval,2025-03-10
T20,Maldives,Thailand,Thailand,Maldives,Kinrara Academy Oval,2019-06-26
Test,India,England,India,India,"Saurashtra Cricket Association Stadium, Rajkot",2024-02-15
MDM,Warwickshire,Sussex,Warwickshire,No Result,"County Ground, Hove",2018-09-18
T20,Hampshire,Surrey,Surrey,Hampshire,The Rose Bowl,2015-07-10
T20,Leinster Lightning,Munster Reds,Munster Reds,Munster Reds,"The Green, Comber",2022-05-27
T20,Surrey,Kent,Surrey,Surrey,Kennington Oval,2016-07-29
T20,Gujarat Giants,Mumbai Indians,Gujarat Giants,Gujarat Giants,"Kotambi Stadium, Vadodara",2026-01-30
IT20,Panama,Canada,Panama,Canada,Church Street Park,2018-09-26
MDM,Yorkshire,Somerset,Yorkshire,Somerset,"Headingley, Leeds",2016-09-12
ODM,Western Storm,Southern Vipers,Southern Vipers,Southern Vipers,"New County Ground, Hove, Brighton",2024-06-30
T20,Tanzania,Nigeria,Tanzania,Nigeria,"United Cricket Club Ground, Windhoek",2023-11-26
Test,Bangladesh,West Indies,West Indies,West Indies,"Sir Vivian Richards Stadium, North Sound, Antigua",2022-06-16
T20,Maldives,Thailand,Thailand,Thailand,"Terdthai Cricket Ground, Bangkok",2024-02-15
T20,Brisbane Heat,Melbourne Renegades,Brisbane Heat,Brisbane Heat,Docklands Stadium,2021-01-23
ODI,Australia,Pakistan,Pakistan,Australia,Sharjah Cricket Stadium,2012-08-28
T20,Delhi Daredevils,Royal Challengers Bangalore,Delhi Daredevils,Royal Challengers Bangalore,Feroz Shah Kotla,2013-05-10
ODM,Nottinghamshire,Somerset,Somerset,Nottinghamshire,"County Ground, Taunton",2017-06-13
ODM,Durham,Glamorgan,Durham,Durham,"Sophia Gardens, Cardiff",2014-08-08
MDM,Nottinghamshire,Somerset,Nottinghamshire,No Result,"Trent Bridge, Nottingham",2024-06-23
ODM,New South Wales,Victoria,Victoria,Victoria,"Junction Oval, Melbourne",2022-09-23
ODI,Australia,England,Australia,Australia,Melbourne Cricket Ground,2014-01-23
T20,Sydney Sixers,Melbourne Stars,Melbourne Stars,Melbourne Stars,Sydney Cricket Ground,2023-12-26
Test,England,Pakistan,Pakistan,Pakistan,Lord's,2016-07-14
T20,Sussex,Somerset,Sussex,Sussex,Edgbaston,2018-09-15
T20,Dolphins,Cape Cobras,Dolphins,Cape Cobras,"Newlands, Cape Town",2013-02-24
T20,Kent,Surrey,Surrey,Kent,Nevill Ground,2016-07-15
MDM,Chilaw Marians Cricket Club,Kurunegala Youth Cricket Club,Kurunegala Youth Cricket Club,Kurunegala Youth Cricket Club,"Surrey Village, Maggona",2026-02-05
T20,Rangpur Riders,Khulna Royal Bengals,Rangpur Riders,Rangpur Riders,"MA Aziz Stadium, Chittagong",2013-01-29
MDM,Middlesex,Leicestershire,Leicestershire,Middlesex,"Grace Road, Leicester",2022-09-20
MDM,Auckland Aces,Wellington Firebirds,Auckland Aces,No Result,Kennards Hire Community Oval,2016-11-05
T20,Uganda,Namibia,Namibia,Namibia,Kyambogo Cricket Oval,2019-05-21
T20,Namibia,Netherlands,Netherlands,Netherlands,"Arun Jaitley Stadium, Delhi",2026-02-10
ODI,Ireland,Pakistan,Ireland,Pakistan,"The Village, Malahide",2016-08-18
T20,Northern Diamonds,The Blaze,Northern Diamonds,The Blaze,"Riverside Ground, Chester-le-Street",2023-06-02
T20,Gloucestershire,Birmingham Bears,Birmingham Bears,Gloucestershire,Edgbaston,2020-09-02
T20,Assam,Kerala,Kerala,Kerala,Arun Jaitley Stadium,2021-11-08
T20,Northamptonshire,Leicestershire,Leicestershire,Northamptonshire,Grace Road,2017-07-21
ODM,Vanuatu,Philippines,Philippines,Vanuatu,Canterbury Park,2017-02-20
ODM,Worcestershire,Warwickshire,Warwickshire,Warwickshire,"Edgbaston, Birmingham",2024-08-16
ODM,Nepal,Papua New Guinea,Nepal,Papua New Guinea,Sheikh Zayed Stadium,2015-11-18
T20,New Zealand,India,India,New Zealand,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",2026-01-28
T20,MI New York,Washington Freedom,Washington Freedom,MI New York,Grand Prairie Stadium,2023-07-27
T20,Perth Scorchers,Brisbane Heat,Brisbane Heat,Perth Scorchers,"Allan Border Field, Brisbane",2025-11-12
T20,Lahore Qalandars,Quetta Gladiators,Quetta Gladiators,Lahore Qalandars,"National Stadium, Karachi",2023-02-21
ODI,Papua New Guinea,United States of America,United States of America,Papua New Guinea,"Amini Park, Port Moresby",2022-09-13
T20,Southern Brave,Oval Invincibles,Oval Invincibles,Oval Invincibles,"Kennington Oval, London",2022-08-14
T20,Switzerland,Belgium,Belgium,Belgium,Bayer Uerdingen Cricket Ground,2024-07-07
MDM,Yorkshire,Kent,Yorkshire,Yorkshire,"St Lawrence Ground, Canterbury",2019-05-14
T20,Netherlands,Bangladesh,Bangladesh,Bangladesh,Sportpark Maarschalkerweerd,2018-07-08
T20,Barbados Royals,Antigua and Barbuda Falcons,Antigua and Barbuda Falcons,Antigua and Barbuda Falcons,"Sir Vivian Richards Stadium, North Sound, Antigua",2025-08-16
T20,Railways,Gujarat,Railways,Gujarat, Emerald Heights International School Ground,2019-03-11
T20,Wellington,Canterbury,Canterbury,Wellington,"Hagley Oval, Christchurch",2021-11-26
T20,Sydney Thunder,Adelaide Strikers,Sydney Thunder,No Result,Manuka Oval,2019-12-21
T20,Railways,Goa,Goa,Railways,Reliance Cricket Stadium,2016-01-07
